category,latitude,longitude,datazone,name
Potholes,55.86991,-4.20955,S01010229,"Roystonhill, Blochairn, and Provanmill - 02"
Potholes,55.85574,-4.2333,S01010038,Calton and Gallowgate - 02
Potholes,55.86175,-4.21092,S01010242,Carntyne West and Haghill - 01
Potholes,55.86613,-4.23266,S01010262,City Centre East - 04
Potholes,55.86748,-4.23474,S01010231,"Roystonhill, Blochairn, and Provanmill - 04"
Potholes,55.8355,-4.10792,S01010091,Baillieston East - 04
Potholes,55.81842,-4.30441,S01009938,Pollokshaws - 06
Potholes,55.85178,-4.34114,S01009810,Cardonald North - 01
Potholes,55.8734,-4.30148,S01010380,Kelvingrove and University - 07
Potholes,55.86418,-4.28537,S01010285,Finnieston and Kelvinhaugh - 04
Potholes,55.91146,-4.35185,S01010491,Drumchapel North - 01
Potholes,55.86975,-4.20952,S01010229,"Roystonhill, Blochairn, and Provanmill - 02"
Potholes,55.86673,-4.25646,S01010275,City Centre South - 04
Potholes,55.84863,-4.32363,S01009851,Craigton - 04
Potholes,55.8712,-4.30584,S01010396,Partick - 04
Potholes,55.85137,-4.36266,S01009826,Penilee - 05
Potholes,55.84565,-4.3597,S01009832,Hillington - 04
Potholes,55.84572,-4.34231,S01009814,Cardonald North - 05
Potholes,55.89392,-4.33587,S01010471,Anniesland West - 02
Potholes,55.84947,-4.19696,S01010051,Parkhead West and Barrowfield - 03
Potholes,55.82459,-4.34756,S01009787,Crookston South - 04
Potholes,55.89806,-4.30087,S01010346,Summerston North - 01
Potholes,55.82851,-4.1708,S01010071,Shettleston South - 03
Potholes,55.8071,-4.34623,S01009767,Darnley North - 04
Potholes,55.81704,-4.25734,S01010010,Cathcart - 06
Potholes,55.83659,-4.25157,S01009898,Govanhill East and Aikenhead - 05
Potholes,55.83546,-4.24804,S01009898,Govanhill East and Aikenhead - 05
Potholes,55.89258,-4.18843,S01010193,Robroyston and Millerston - 08
Potholes,55.88677,-4.28449,S01010320,Ruchill - 06
Potholes,55.87659,-4.35138,S01010436,Scotstoun South and West - 05
Potholes,55.82992,-4.35285,S01009805,Pollok North and East - 07
Potholes,55.8495,-4.34255,S01009851,Craigton - 04
Potholes,55.84825,-4.25475,S01010034,Laurieston and Tradeston - 04
Potholes,55.8447,-4.34574,S01009806,Cardonald South and East - 01
Potholes,55.84458,-4.34658,S01009806,Cardonald South and East - 01
Potholes,55.84288,-4.34275,S01009807,Cardonald South and East - 02
Potholes,55.84547,-4.34366,S01009806,Cardonald South and East - 01
Potholes,55.85115,-4.16684,S01010141,Shettleston North - 05
Potholes,55.84488,-4.25981,S01010033,Laurieston and Tradeston - 03
Potholes,55.85008,-4.34618,S01009811,Cardonald North - 02
Potholes,55.85571,-4.12996,S01010124,Barlanark - 02
Potholes,55.86567,-4.11941,S01010122,North Barlanark and Easterhouse South - 05
Potholes,55.87638,-4.30588,S01010401,Partickhill and Hyndland - 05
Potholes,55.88152,-4.21045,S01010207,Petershill - 05
Potholes,55.9031,-4.35213,S01010479,Blairdardie East - 02
Potholes,55.85368,-4.13526,S01010124,Barlanark - 02
Potholes,55.88666,-4.25841,S01010326,Possil Park - 04
Potholes,55.87263,-4.27835,S01010291,Woodlands - 03
Pavements/footpaths,55.87986,-4.28032,S01010373,North Kelvin - 05
Potholes,55.81499,-4.23676,S01009994,Kingspark South - 02
Potholes,55.86099,-4.34672,S01009833,Drumoyne and Shieldhall - 01
Potholes,55.86323,-4.29599,S01010283,Finnieston and Kelvinhaugh - 02
Potholes,55.80565,-4.34149,S01009767,Darnley North - 04
Potholes,55.81113,-4.28047,S01009959,Muirend and Old Cathcart - 01
Potholes,55.85253,-4.10429,S01010089,Baillieston East - 02
Potholes,55.84894,-4.3215,S01009849,Craigton - 02
Potholes,55.80187,-4.32892,S01009760,Darnley East - 03
Potholes,55.92659,-4.28791,S01010345,Summerston Central and West - 06
Potholes,55.89124,-4.18832,S01010192,Robroyston and Millerston - 07
Potholes,55.84352,-4.1113,S01010088,Baillieston East - 01
Pavements/footpaths,55.88661,-4.3478,S01010463,Knightswood Park East - 04
Potholes,55.86305,-4.2861,S01010283,Finnieston and Kelvinhaugh - 02
Potholes,55.85667,-4.20106,S01010148,Old Shettleston and Parkhead North - 02
Potholes,55.85025,-4.10394,S01010089,Baillieston East - 02
Potholes,55.88298,-4.25424,S01010224,Cowlairs and Port Dundas - 06
Pavements/footpaths,55.82801,-4.27231,S01009904,Battlefield - 06
Potholes,55.85622,-4.24352,S01010041,Calton and Gallowgate - 05
Pavements/footpaths,55.87076,-4.32749,S01010391,Glasgow Harbour and Partick South - 04
Potholes,55.92655,-4.28868,S01010345,Summerston Central and West - 06
Potholes,55.83522,-4.24602,S01009898,Govanhill East and Aikenhead - 05
Pavements/footpaths,55.81915,-4.27495,S01009955,Merrylee and Millbrae - 01
Potholes,55.9266,-4.28796,S01010345,Summerston Central and West - 06
Potholes,55.85859,-4.13041,S01010123,Barlanark - 01
Potholes,55.81353,-4.31588,S01009941,Carnwadric West - 03
Potholes,55.80746,-4.34743,S01009767,Darnley North - 04
Potholes,55.87076,-4.31267,S01010388,Glasgow Harbour and Partick South - 01
Potholes,55.81701,-4.30159,S01009954,Newlands - 07
Potholes,55.84946,-4.36485,S01009826,Penilee - 05
Potholes,55.85093,-4.36587,S01009826,Penilee - 05
Potholes,55.88795,-4.30648,S01010365,Kelvindale - 03
Pavements/footpaths,55.82378,-4.34716,S01009787,Crookston South - 04
Potholes,55.90791,-4.26901,S01010345,Summerston Central and West - 06
Potholes,55.834,-4.25761,S01009889,Govanhill West - 03
Potholes,55.85807,-4.19712,S01010148,Old Shettleston and Parkhead North - 02
Potholes,55.86983,-4.20386,S01010228,"Roystonhill, Blochairn, and Provanmill - 01"
Potholes,55.84696,-4.32837,S01009852,Mosspark - 01
Potholes,55.87242,-4.21517,S01010229,"Roystonhill, Blochairn, and Provanmill - 02"
Potholes,55.87569,-4.21381,S01010225,Sighthill - 01
Potholes,55.88061,-4.22257,S01010205,Petershill - 03
Potholes,55.84723,-4.23178,S01010043,Bridgeton - 02
